番号,単語,意味
1,improve,向上させる
2,discover,発見する
3,experience,経験する
4,convenient,便利な
5,environment,環境
6,opportunity,機会
7,protect,保護する
8,traditional,伝統的な
9,necessary,必要な
10,produce,生産する
11,increase,増やす
12,expensive,高価な
13,crowded,混雑した
14,popular,人気のある
15,audience,観客
16,neighbor,隣人
17,refrigerator,冷蔵庫
18,pollution,汚染
19,believe,信じる
20,decide,決める
21,agree,同意する
22,allow,許可する
23,arrive,到着する
24,attend,出席する
25,avoid,避ける
26,collect,集める
27,complete,完成させる
28,continue,続ける
29,create,創造する
30,deliver,配達する
31,describe,描写する
32,develop,開発する
33,discuss,話し合う
34,expect,期待する
35,explain,説明する
36,imagine,想像する
37,include,含む
38,introduce,紹介する
39,invite,招待する
40,prepare,準備する
41,realize,悟る
42,receive,受け取る
43,reduce,減らす
44,repair,修理する
45,suggest,提案する
46,support,支持する
47,surprise,驚かせる
48,survive,生き残る
49,amazing,驚くべき
50,comfortable,快適な
51,common,共通の
52,dangerous,危険な
53,difficult,難しい
54,excellent,優れた
55,famous,有名な
56,fantastic,素晴らしい
57,favorite,お気に入りの
58,foreign,外国の
59,important,重要な
60,international,国際的な
61,natural,自然の
62,perfect,完璧な
63,pleasant,心地よい
64,polite,礼儀正しい
65,possible,可能な
66,precious,貴重な
67,serious,深刻な
68,strange,奇妙な
69,successful,成功した
70,useful,役に立つ
71,various,様々な
72,wonderful,素晴らしい
73,activity,活動
74,adventure,冒険
75,amount,量
76,article,記事
77,behavior,ふるまい
78,century,世紀
79,challenge,挑戦
80,character,性格
81,condition,状態
82,customer,客
83,difference,違い
84,direction,方向
85,education,教育
86,effort,努力
87,energy,エネルギー
88,event,出来事
89,government,政府
90,history,歴史
91,information,情報
92,knowledge,知識
93,message,伝言
94,opinion,意見
95,president,大統領
96,purpose,目的
97,reason,理由
98,result,結果
99,situation,状況
100,society,社会
101,accept,受け入れる
102,achieve,達成する
103,admire,賞賛する
104,affect,影響を与える
105,announce,発表する
106,appear,現れる
107,apply,申し込む
108,arrange,手配する
109,cause,引き起こす
110,confirm,確認する
111,connect,つなぐ
112,consider,検討する
113,depend,依存する
114,destroy,破壊する
115,divide,分ける
116,earn,稼ぐ
117,educate,教育する
118,encourage,励ます
119,examine,調査する
120,express,表現する
121,fail,失敗する
122,follow,従う
123,forgive,許す
124,gather,集める
125,graduate,卒業する
126,happen,起こる
127,ignore,無視する
128,maintain,維持する
129,manage,何とかやり遂げる
130,mention,言及する
131,perform,演奏する・上演する
132,permit,許可する
133,prevent,防ぐ
134,promise,約束する
135,provide,提供する
136,publish,出版する
137,recognize,認める
138,refuse,断る
139,remain,〜のままでいる
140,repeat,繰り返す
141,rescue,救助する
142,respect,尊敬する
143,satisfy,満足させる
144,solve,解決する
145,suppose,と思う
146,waste,無駄にする
147,active,活動的な
148,alone,一人で
149,anxious,心配して
150,awful,ひどい
151,basic,基本的な
152,brave,勇敢な
153,bright,明るい
154,certain,確信して
155,clear,明らかな
156,equal,等しい
157,general,一般的な
158,glad,うれしい
159,honest,正直な
160,huge,巨大な
161,likely,ありそうな
162,lucky,幸運な
163,main,主な
164,medical,医学の
165,mental,精神的な
166,negative,否定的な
167,normal,普通の
168,original,元の
169,poor,貧しい
170,private,私的な
171,public,公共の
172,rare,珍しい
173,recent,最近の
174,regular,規則的な
175,rich,豊かな
176,safe,安全な
177,similar,似ている
178,simple,単純な
179,single,たった一つの
180,smart,賢い
181,special,特別な
182,tough,困難な
183,unique,独特な
184,unusual,珍しい
185,whole,全体の
186,accident,事故
187,advantage,利点
188,amount,量
189,attention,注意
190,average,平均
191,benefit,利益
192,business,仕事
193,choice,選択
194,communication,伝達
195,community,地域社会
196,death,死
197,degree,程度
198,detail,詳細
199,device,装置
200,distance,距離
201,achieve,達成する
202,admire,称賛する
203,apply,申し込む・適用する
204,arrange,手配する・並べる
205,belong,属する
206,borrow,借りる
207,celebrate,祝う
208,confirm,確認する
209,connect,つなぐ
210,consider,検討する
211,deliver,配達する
212,describe,描写する
213,destroy,破壊する
214,divide,分ける
215,earn,稼ぐ
216,examine,調査する
217,express,表現する
218,fail,失敗する
219,fill,満たす
220,follow,従う
221,forgive,許す
222,gather,集める
223,graduate,卒業する
224,guess,推測する
225,hide,隠す
226,hold,持つ・開催する
227,hope,望む
228,hurry,急ぐ
229,hurt,傷つける
230,include,含む
231,increase,増やす
232,introduce,紹介する
233,invite,招待する
234,lend,貸す
235,manage,何とかやり遂げる
236,mention,言及する
237,notice,気づく
238,offer,提供する
239,perform,演奏する・上演する
240,permit,許可する
241,prevent,防ぐ
242,promise,約束する
243,prove,証明する
244,provide,提供する
245,publish,出版する
246,receive,受け取る
247,recognize,認める
248,refuse,断る
249,remain,残る
250,repeat,繰り返す
251,rescue,救助する
252,respect,尊敬する
253,return,戻る・返す
254,serve,役立つ・出す
255,solve,解決する
256,suggest,提案する
257,support,支持する
258,suppose,と思う
259,surprise,驚かせる
260,survive,生き残る
261,active,活動的な
262,afraid,恐れて
263,anxious,心配して
264,available,利用可能な
265,basic,基本的な
266,brave,勇敢な
267,bright,明るい
268,careful,注意深い
269,certain,確信して
270,clear,明らかな
271,comfortable,快適な
272,common,共通の
273,dangerous,危険な
274,different,異なる
275,difficult,難しい
276,equal,等しい
277,famous,有名な
278,foreign,外国の
279,general,一般的な
280,gentle,優しい
281,glad,うれしい
282,honest,正直な
283,huge,巨大な
284,important,重要な
285,natural,自然の
286,necessary,必要な
287,negative,否定的な
288,normal,普通の
289,original,元の
290,perfect,完璧な
291,polite,礼儀正しい
292,possible,可能な
293,private,私的な
294,public,公共の
295,rare,珍しい
296,recent,最近の
297,regular,規則的な
298,safe,安全な
299,simple,単純な
300,successful,成功した
301,accept,受け入れる
302,act,行動する
303,add,加える
304,allow,許可する
305,appear,現れる
306,arrive,到着する
307,attend,出席する
308,avoid,避ける
309,believe,信じる
310,build,建てる
311,cause,引き起こす
312,choose,選ぶ
313,collect,集める
314,complain,不平を言う
315,complete,完成させる
316,continue,続ける
317,create,創造する
318,decide,決める
319,discover,発見する
320,discuss,話し合う
321,expect,期待する
322,explain,説明する
323,feel,感じる
324,fight,戦う
325,finish,終える
326,get,手に入れる
327,give,与える
328,grow,成長する
329,happen,起こる
330,hear,聞こえる
331,improve,向上させる
332,include,含む
333,increase,増やす
334,keep,保つ
335,know,知っている
336,last,続く
337,laugh,笑う
338,lead,導く
339,learn,学ぶ
340,leave,出発する
341,lose,失う
342,make,作る
343,mean,意味する
344,meet,会う
345,move,動く
346,order,注文する
347,pay,支払う
348,pick,選ぶ
349,plan,計画する
350,plant,植える
351,play,遊ぶ・演奏する
352,practice,練習する
353,produce,生産する
354,protect,保護する
355,realize,悟る
356,reduce,減らす
357,relax,くつろぐ
358,remember,覚えている
359,reply,返事をする
360,report,報告する
361,ride,乗る
362,save,救う・蓄える
363,search,探す
364,sell,売る
365,send,送る
366,share,共有する
367,show,見せる
368,speak,話す
369,spend,費やす・過ごす
370,stand,立つ
371,start,始める
372,stay,滞在する
373,stop,止まる
374,study,勉強する
375,teach,教える
376,tell,伝える
377,thank,感謝する
378,think,思う
379,travel,旅行する
380,try,試みる
381,understand,理解する
382,use,使う
383,visit,訪問する
384,wait,待つ
385,walk,歩く
386,want,欲しい
387,watch,見る
388,wear,身に着けている
389,win,勝つ
390,write,書く
391,able,できる
392,another,もう一つの
393,beautiful,美しい
394,different,異なる
395,early,早い
396,every,すべての
397,great,偉大な
398,high,高い
399,important,重要な
400,little,小さい・ほとんどない
401,actual,実際の
402,another,別の
403,anyway,とにかく
404,around,の周りに
405,beautiful,美しい
406,boring,退屈な
407,bright,明るい
408,busy,忙しい
409,careful,注意深い
410,certainly,確かに
411,cool,涼しい
412,dark,暗い
413,deep,深い
414,early,早い
415,easily,簡単に
416,everywhere,どこでも
417,fast,速い
418,finally,ついに
419,fresh,新鮮な
420,full,いっぱいの
421,hardly,ほとんどない
422,immediately,すぐに
423,instead,代わりに
424,light,軽い
425,lucky,幸運な
426,main,主な
427,modern,現代の
428,nearly,ほとんど
429,often,しばしば
430,outside,外側で
431,perhaps,ひょっとすると
432,probably,おそらく
433,quiet,静かな
434,quite,かなり
435,recently,最近
436,rich,豊かな
437,short,短い
438,slowly,ゆっくりと
439,sometimes,時々
440,still,まだ
441,strange,奇妙な
442,suddenly,突然
443,together,一緒に
444,usually,普通は
445,various,様々な
446,wide,広い
447,activity,活動
448,address,住所
449,adult,大人
450,airport,空港
451,area,地域
452,article,記事
453,audience,観客
454,author,著者
455,bicycle,自転車
456,bottle,瓶
457,building,建物
458,business,仕事
459,calendar,カレンダー
460,camera,カメラ
461,century,世紀
462,chance,機会
463,character,性格
464,church,教会
465,city,都市
466,climate,気候
467,clothes,衣服
468,college,大学
469,company,会社
470,concert,コンサート
471,corner,角
472,country,国
473,culture,文化
474,custom,習慣
475,dictionary,辞書
476,direction,方向
477,distance,距離
478,dollar,ドル
479,education,教育
480,effort,努力
481,electricity,電気
482,energy,エネルギー
483,environment,環境
484,event,出来事
485,exercise,運動
486,experience,経験
487,factory,工場
488,festival,祭り
489,field,分野
490,future,未来
491,garden,庭
492,government,政府
493,health,健康
494,history,歴史
495,hobby,趣味
496,holiday,休日
497,hospital,病院
498,husband,夫
499,island,島
500,advice,助言
501,animal,動物
502,apartment,アパート
503,artist,芸術家
504,baggage,手荷物
505,behavior,ふるまい
506,birthday,誕生日
507,bookstore,書店
508,bridge,橋
509,capital,首都
510,career,経歴
511,celebration,お祝い
512,charity,慈善
513,choice,選択
514,clothes,衣服
515,collection,収集
516,comedy,コメディー
517,competition,競技会
518,condition,状態
519,conversation,会話
520,courage,勇気
521,cousin,いとこ
522,customer,客
523,damage,損害
524,daughter,娘
525,decision,決定
526,delivery,配達
527,department,部門
528,diary,日記
529,difference,違い
530,difficulty,困難
531,dinner,夕食
532,doctor,医者
533,driver,運転手
534,earthquake,地震
535,education,教育
536,employee,従業員
537,engineer,技師
538,entrance,入り口
539,equipment,装備
540,example,例
541,explanation,説明
542,favorite,お気に入り
543,feeling,感情
544,flight,飛行便
545,flower,花
546,forest,森
547,friendship,友情
548,furniture,家具
549,gallery,美術館
550,garage,車庫
551,generation,世代
552,gift,贈り物
553,grade,成績・学年
554,habit,習慣
555,health,健康
556,height,高さ
557,hobby,趣味
558,hometown,故郷
559,honor,名誉
560,hope,希望
561,hospital,病院
562,image,画像
563,information,情報
564,insect,昆虫
565,instrument,楽器
566,interest,興味
567,interview,インタビュー
568,invention,発明
569,jacket,ジャケット
570,journey,旅
571,judge,裁判官
572,kitchen,台所
573,knowledge,知識
574,language,言語
575,leader,リーダー
576,lesson,授業
577,library,図書館
