No	熟語	意味
1	a piece of ～	１つの～
2	a couple of ～	２つの～、２，３の～
3	a number of ～	いくつもの～、かなり多くの～
4	dozens of ～	数十もの～、何ダースもの～
5	plenty of ～	たくさんの～
6	a great/good deal (of ～)	たくさん（の～）
7	at home	①在宅して、家庭で ②くつろいで ③精通して
8	in time	①間に合って ②やがて、そのうちに
9	in fashion	流行して
10	on time	時間通りに［で］
11	on duty	当番で、勤務時間中で
12	on schedule	予定通りで、定時に
13	up to date	最新（式）の
14	be aware of ～	～を知っている、～に気づいている
15	be made of ～	～でできている
16	be capable of ～	～ができる、～の可能性がある
17	be afraid of ～	～を恐れる［怖がる］、～を心配している
18	be sure of/about ～	～を確信している
19	be composed of ～	～から構成されている
20	be based on/upon ～	～に基づいている
21	be different from ～	～とは違っている
22	be absent from ～	～を欠席する
23	be engaged in ～	～に従事している、忙しく～をしている
24	be responsible for ～	～に責任がある
25	be married (to ～)	（～と）結婚している
26	be satisfied with ～	～に満足している
27	be curious about ～	～を知りたがる、～に好奇心の強い
28	be well off	裕福である
29	be likely to do	…しそうである
30	be willing to do	…してもかまわない
31	be about to do	今にも…しようとしている
32	lead to ～	～（という結果）を引き起こす、～へと通じる
33	refer to ～	①～に言及する ②～を参照する、～に問い合わせる
34	contribute to ～	～の一因となる、～に貢献する、～に寄付［寄稿］する
35	amount to ～	総計～になる
36	depend on/upon ～	～に頼る、～しだいである
37	focus on ～	～に集中する、～に焦点を合わせる
38	rely on/upon ～	～に頼る
39	get on (～)	①（公共の乗り物など）に乗る ②仲良くやっていく、（なんとか）やっていく
40	insist on/upon ～	～を主張する
41	concentrate on ～	～に集中する
42	look for ～	～を探す［捜す］
43	search for ～	～を探す［捜す］
44	prepare for ～	～の準備をする、～に備える
45	think of ～	①～をしようかなと思う、～のことを考える ②～を思いつく ③～を思い出す
46	consist of ～	～から成り立っている
47	complain about/of ～	（苦痛など）を訴える、～について不平を言う
48	die of/from ～	～で死ぬ
49	suffer from ～	（病気など）で苦しむ［悩む］
50	result from ～	～から起こる
51	graduate from ～	～を卒業する
52	differ from ～	～と異なる
53	recover from ～	～から立ち直る［回復する］
54	hear from ～	～から便り［電話・伝言］がある
55	believe in ～	～の価値［存在］を信じる、～を信用する
56	succeed in ～	～に成功する
57	major in ～	（大学生が）～を専攻する
58	abound in/with ～	（場所が）～に富む
59	care about ～	～に気にかける、～に関心を持つ
60	bring about ～	～を引き起こす
61	deal with ～	～を扱う,処理する
62	go through ～	①～を通過する ②（苦しみなど）を経験する
63	give up ～	～をあきらめる、～捨てる［やめる］
64	grow up	大人になる、（事態などが）生じる
65	pick up ～	～を（車などに）乗せる、～拾う
66	set up ～	～を立てる［建てる］、～を創設する［始める］
